wall_time,ros_time,field.x,field.y,field.z
0.246065,7.197000000,562.000000000,640.000000000,1.000000000
1.097693,7.253000000,562.500000000,640.000000000,1.000000000
2.024926,7.309000000,561.500000000,640.000000000,1.000000000
2.833651,7.365000000,562.500000000,640.000000000,1.000000000
3.665354,7.419000000,562.000000000,640.000000000,1.000000000
4.364812,7.488000000,563.500000000,640.000000000,1.000000000
4.918649,7.552000000,563.000000000,640.000000000,1.000000000
5.515296,7.625000000,559.500000000,640.000000000,1.000000000
6.193796,7.676000000,537.000000000,640.000000000,1.000000000
6.830771,7.744000000,511.500000000,640.000000000,1.000000000
7.403103,7.798000000,501.000000000,640.000000000,1.000000000
7.972740,7.853000000,470.500000000,640.000000000,1.000000000
8.609633,7.923000000,455.500000000,640.000000000,1.000000000
9.169553,7.974000000,438.500000000,640.000000000,1.000000000
9.743829,8.023000000,432.000000000,640.000000000,1.000000000
10.303024,8.073000000,416.000000000,640.000000000,1.000000000
10.958418,8.153000000,405.000000000,640.000000000,1.000000000
11.543173,8.213000000,385.500000000,640.000000000,1.000000000
12.275692,8.333000000,373.500000000,640.000000000,1.000000000
12.918323,8.402000000,366.500000000,640.000000000,1.000000000
13.527319,8.473000000,341.500000000,640.000000000,1.000000000
14.131891,8.532000000,332.000000000,640.000000000,1.000000000
14.631047,8.573000000,322.000000000,640.000000000,1.000000000
15.164712,8.628000000,313.500000000,640.000000000,1.000000000
15.821304,8.706000000,305.000000000,640.000000000,1.000000000
16.342742,8.746000000,299.500000000,640.000000000,1.000000000
16.902364,8.792000000,287.000000000,640.000000000,1.000000000
17.437181,8.839000000,281.000000000,640.000000000,1.000000000
18.026195,8.917000000,276.000000000,640.000000000,1.000000000
18.689993,8.978000000,275.500000000,640.000000000,1.000000000
19.233308,9.035000000,271.500000000,640.000000000,1.000000000
19.787040,9.082000000,265.000000000,640.000000000,1.000000000
20.386735,9.147000000,265.000000000,640.000000000,1.000000000
20.928881,9.197000000,265.000000000,640.000000000,1.000000000
21.539280,9.284000000,265.500000000,640.000000000,1.000000000
22.119145,9.338000000,266.000000000,640.000000000,1.000000000
22.695533,9.389000000,268.000000000,640.000000000,1.000000000
23.293475,9.443000000,270.500000000,640.000000000,1.000000000
23.865352,9.504000000,270.500000000,640.000000000,1.000000000
24.628697,9.635000000,273.000000000,640.000000000,1.000000000
25.212184,9.709000000,274.500000000,640.000000000,1.000000000
25.821711,9.770000000,276.000000000,640.000000000,1.000000000
26.458739,9.855000000,283.000000000,640.000000000,1.000000000
27.053958,9.942000000,286.000000000,640.000000000,1.000000000
27.550634,10.015000000,288.500000000,640.000000000,1.000000000
28.058488,10.054000000,290.000000000,640.000000000,1.000000000
28.586060,10.097000000,294.000000000,640.000000000,1.000000000
29.115838,10.144000000,297.000000000,640.000000000,1.000000000
29.659393,10.193000000,298.500000000,640.000000000,1.000000000
30.243219,10.278000000,301.000000000,640.000000000,1.000000000
30.983232,10.372000000,305.500000000,640.000000000,1.000000000
31.606945,10.440000000,309.000000000,640.000000000,1.000000000
32.213043,10.501000000,313.000000000,640.000000000,1.000000000
32.803681,10.544000000,315.500000000,640.000000000,1.000000000
33.467790,10.626000000,317.500000000,640.000000000,1.000000000
34.143414,10.706000000,321.000000000,640.000000000,1.000000000
34.753799,10.791000000,324.500000000,640.000000000,1.000000000
35.399915,10.878000000,328.500000000,640.000000000,1.000000000
36.053194,10.933000000,332.000000000,640.000000000,1.000000000
36.840600,11.046000000,345.000000000,640.000000000,1.000000000
37.455359,11.090000000,346.000000000,640.000000000,1.000000000
38.003943,11.135000000,360.000000000,640.000000000,1.000000000
38.733924,11.211000000,361.000000000,640.000000000,1.000000000
39.307424,11.248000000,362.000000000,640.000000000,1.000000000
39.982714,11.320000000,362.500000000,640.000000000,1.000000000
40.688555,11.391000000,364.000000000,640.000000000,1.000000000
41.395446,11.462000000,367.000000000,640.000000000,1.000000000
42.104578,11.530000000,372.000000000,640.000000000,1.000000000
42.788532,11.583000000,374.000000000,640.000000000,1.000000000
43.472011,11.642000000,376.500000000,640.000000000,1.000000000
44.179640,11.734000000,377.500000000,640.000000000,1.000000000
44.774277,11.794000000,377.000000000,640.000000000,1.000000000
45.433358,11.869000000,380.000000000,640.000000000,1.000000000
45.929886,11.912000000,380.000000000,640.000000000,1.000000000
46.414491,11.952000000,381.500000000,640.000000000,1.000000000
47.044958,12.018000000,382.500000000,640.000000000,1.000000000
47.690293,12.088000000,379.500000000,640.000000000,1.000000000
48.276804,12.163000000,381.500000000,640.000000000,1.000000000
48.853326,12.219000000,383.000000000,640.000000000,1.000000000
49.378214,12.283000000,383.500000000,640.000000000,1.000000000
49.983365,12.347000000,382.500000000,640.000000000,1.000000000
50.491336,12.390000000,383.500000000,640.000000000,1.000000000
51.006850,12.435000000,383.000000000,640.000000000,1.000000000
51.763534,12.541000000,384.000000000,640.000000000,1.000000000
52.316083,12.598000000,386.500000000,640.000000000,1.000000000
52.955341,12.658000000,387.000000000,640.000000000,1.000000000
53.569264,12.717000000,386.500000000,640.000000000,1.000000000
54.144252,12.771000000,386.000000000,640.000000000,1.000000000
54.784626,12.830000000,383.500000000,640.000000000,1.000000000
55.376767,12.885000000,382.500000000,640.000000000,1.000000000
55.944630,12.935000000,383.000000000,640.000000000,1.000000000
56.600116,12.989000000,383.000000000,640.000000000,1.000000000
57.129897,13.032000000,383.000000000,640.000000000,1.000000000
57.763731,13.088000000,383.000000000,640.000000000,1.000000000
58.423702,13.148000000,382.500000000,640.000000000,1.000000000
59.029275,13.196000000,380.500000000,640.000000000,1.000000000
59.690542,13.253000000,380.500000000,640.000000000,1.000000000
60.306417,13.315000000,380.000000000,640.000000000,1.000000000
60.994220,13.398000000,380.000000000,640.000000000,1.000000000
61.650523,13.455000000,379.500000000,640.000000000,1.000000000
62.310202,13.527000000,378.500000000,640.000000000,1.000000000
62.892045,13.574000000,378.500000000,640.000000000,1.000000000
63.500263,13.647000000,378.500000000,640.000000000,1.000000000
64.111355,13.725000000,377.500000000,640.000000000,1.000000000
64.668449,13.777000000,376.500000000,640.000000000,1.000000000
65.218967,13.825000000,377.000000000,640.000000000,1.000000000
65.845875,13.889000000,376.000000000,640.000000000,1.000000000
66.364233,13.932000000,373.500000000,640.000000000,1.000000000
67.042208,13.986000000,372.000000000,640.000000000,1.000000000
67.717381,14.046000000,373.500000000,640.000000000,1.000000000
68.316962,14.095000000,372.500000000,640.000000000,1.000000000
69.026007,14.179000000,372.000000000,640.000000000,1.000000000
69.631236,14.255000000,370.500000000,640.000000000,1.000000000
70.280628,14.322000000,370.000000000,640.000000000,1.000000000
70.873960,14.384000000,368.500000000,640.000000000,1.000000000
71.431789,14.438000000,367.000000000,640.000000000,1.000000000
72.001698,14.505000000,366.500000000,640.000000000,1.000000000
72.623536,14.581000000,365.000000000,640.000000000,1.000000000
73.285175,14.645000000,364.000000000,640.000000000,1.000000000
73.903528,14.709000000,362.000000000,640.000000000,1.000000000
74.531092,14.803000000,359.500000000,640.000000000,1.000000000
75.131497,14.868000000,359.500000000,640.000000000,1.000000000
75.752342,14.930000000,357.500000000,640.000000000,1.000000000
