wall_time,ros_time,field.x,field.y,field.z
0.425935,7.118000000,562.500000000,640.000000000,1.000000000
1.155946,7.185000000,563.000000000,640.000000000,1.000000000
1.969473,7.229000000,562.500000000,640.000000000,1.000000000
2.844419,7.279000000,562.500000000,640.000000000,1.000000000
3.673652,7.330000000,563.000000000,640.000000000,1.000000000
4.191831,7.384000000,563.000000000,640.000000000,1.000000000
4.761910,7.425000000,563.500000000,640.000000000,1.000000000
5.319046,7.481000000,550.500000000,640.000000000,1.000000000
5.913001,7.560000000,525.500000000,640.000000000,1.000000000
6.574381,7.629000000,510.000000000,640.000000000,1.000000000
7.198414,7.700000000,480.500000000,640.000000000,1.000000000
7.845656,7.754000000,469.500000000,640.000000000,1.000000000
8.433921,7.815000000,446.000000000,640.000000000,1.000000000
9.068428,7.897000000,435.500000000,640.000000000,1.000000000
9.597022,7.950000000,417.000000000,640.000000000,1.000000000
10.274686,8.069000000,406.000000000,640.000000000,1.000000000
10.873178,8.128000000,386.500000000,640.000000000,1.000000000
11.438717,8.183000000,373.000000000,640.000000000,1.000000000
12.004897,8.253000000,366.500000000,640.000000000,1.000000000
12.616781,8.349000000,358.000000000,640.000000000,1.000000000
13.168093,8.404000000,342.000000000,640.000000000,1.000000000
13.732819,8.454000000,329.000000000,640.000000000,1.000000000
14.239131,8.511000000,320.500000000,640.000000000,1.000000000
14.868988,8.571000000,313.000000000,640.000000000,1.000000000
15.501397,8.630000000,308.000000000,640.000000000,1.000000000
16.126517,8.719000000,304.500000000,640.000000000,1.000000000
16.726403,8.768000000,293.500000000,640.000000000,1.000000000
17.298639,8.814000000,288.000000000,640.000000000,1.000000000
17.881947,8.877000000,285.500000000,640.000000000,1.000000000
18.461270,8.937000000,283.000000000,640.000000000,1.000000000
19.090805,9.036000000,281.500000000,640.000000000,1.000000000
19.678780,9.081000000,280.500000000,640.000000000,1.000000000
20.279976,9.144000000,277.500000000,640.000000000,1.000000000
20.904197,9.235000000,277.000000000,640.000000000,1.000000000
21.470444,9.294000000,273.000000000,640.000000000,1.000000000
21.981928,9.367000000,275.500000000,640.000000000,1.000000000
22.504837,9.407000000,275.500000000,640.000000000,1.000000000
23.047570,9.448000000,276.500000000,640.000000000,1.000000000
23.689330,9.521000000,276.500000000,640.000000000,1.000000000
24.255222,9.584000000,277.500000000,640.000000000,1.000000000
24.901719,9.635000000,275.000000000,640.000000000,1.000000000
25.516395,9.685000000,274.000000000,640.000000000,1.000000000
26.083031,9.734000000,275.500000000,640.000000000,1.000000000
26.768909,9.832000000,276.500000000,640.000000000,1.000000000
27.352158,9.895000000,277.500000000,640.000000000,1.000000000
27.906692,9.951000000,281.500000000,640.000000000,1.000000000
28.410552,9.997000000,283.000000000,640.000000000,1.000000000
28.907979,10.053000000,284.000000000,640.000000000,1.000000000
29.584908,10.114000000,286.000000000,640.000000000,1.000000000
30.147317,10.189000000,287.500000000,640.000000000,1.000000000
30.760484,10.265000000,288.500000000,640.000000000,1.000000000
31.365376,10.333000000,290.000000000,640.000000000,1.000000000
31.895523,10.388000000,292.000000000,640.000000000,1.000000000
32.629205,10.515000000,293.500000000,640.000000000,1.000000000
33.228714,10.590000000,295.000000000,640.000000000,1.000000000
33.825944,10.666000000,302.000000000,640.000000000,1.000000000
34.485610,10.763000000,302.500000000,640.000000000,1.000000000
35.038204,10.849000000,304.000000000,640.000000000,1.000000000
35.592856,10.897000000,305.000000000,640.000000000,1.000000000
36.166758,10.955000000,306.000000000,640.000000000,1.000000000
36.794435,11.014000000,307.500000000,640.000000000,1.000000000
37.372947,11.063000000,308.500000000,640.000000000,1.000000000
38.035172,11.119000000,308.500000000,640.000000000,1.000000000
38.659570,11.187000000,309.500000000,640.000000000,1.000000000
39.276992,11.265000000,309.500000000,640.000000000,1.000000000
39.915126,11.356000000,310.000000000,640.000000000,1.000000000
40.534787,11.427000000,311.000000000,640.000000000,1.000000000
41.184024,11.501000000,314.000000000,640.000000000,1.000000000
41.854614,11.566000000,313.500000000,640.000000000,1.000000000
42.384555,11.615000000,315.000000000,640.000000000,1.000000000
42.904116,11.657000000,315.500000000,640.000000000,1.000000000
43.483443,11.719000000,316.500000000,640.000000000,1.000000000
44.217454,11.781000000,318.000000000,640.000000000,1.000000000
44.771986,11.825000000,320.500000000,640.000000000,1.000000000
45.409479,11.887000000,321.500000000,640.000000000,1.000000000
46.024789,11.946000000,323.000000000,640.000000000,1.000000000
46.647413,12.000000000,326.500000000,640.000000000,1.000000000
47.218415,12.055000000,328.000000000,640.000000000,1.000000000
47.981950,12.145000000,330.000000000,640.000000000,1.000000000
48.565124,12.188000000,331.000000000,640.000000000,1.000000000
49.192410,12.236000000,333.500000000,640.000000000,1.000000000
49.805146,12.283000000,335.500000000,640.000000000,1.000000000
50.419593,12.334000000,339.000000000,640.000000000,1.000000000
51.067574,12.409000000,341.000000000,640.000000000,1.000000000
